day,max_temp,min_temp,avg_temp,max_wind,min_wind,avg_wind,max_percipitation,min_percipitation,avg_percipitation,sum_snow,day_hours,sunnyness,price_surge,max_price
2024-02-01,-0.875,-5.325,-2.285416679166667,11.298495,1.08,5.742066054166666,0.6,0.0,0.12083333333333333,1.68000004,12.0,0.04558092824074074,0.0,
2024-02-02,3.7749999,-7.375,-1.324999965583333,7.5685663,0.35999998,4.043848499166667,0.0,0.0,0.0,0.0,12.0,0.2982354027777778,0.0,
2024-02-03,6.5750003,0.8249999,3.0291666958333336,6.3690495,0.8049845,3.718331429166667,0.0,0.0,0.0,0.0,12.0,0.7164867986111111,0.0,
2024-02-04,4.8250003,-0.22500002,1.8979166504166667,10.703569,4.072935,6.360346441666667,0.0,0.0,0.0,0.0,12.0,0.7184402476851852,0.0,
2024-02-05,5.8250003,-0.37500003,1.7666666669166666,9.007196,1.2979984,5.022010595833334,0.0,0.0,0.0,0.0,12.0,0.7204464490740741,0.0,
2024-02-06,2.625,-2.9750001,-0.3708333708333333,10.1376915,4.6102495,8.011046529166666,0.0,0.0,0.0,0.0,12.0,0.7225021481481481,0.0,
2024-02-07,-0.52500004,-9.275,-4.0583332725,14.869351,4.198285,9.9967866,1.2,0.0,0.1625,2.73000001,12.0,0.7246037685185185,0.0,
2024-02-08,1.7249999,-3.425,-1.1666667091666667,20.111729,10.182337,14.6074594375,1.8,0.0,0.17499999999999996,2.9400000299999998,12.0,0.47415191875,0.0,
2024-02-09,0.07499999,-3.325,-1.94791667625,21.203358,14.264361,17.65562625,0.6,0.0,0.20833333333333334,3.5000000399999998,12.0,0.012464040046296298,0.0,
2024-02-10,0.12499997,-5.725,-2.9187499824999996,21.638964,4.3349743,15.117813970833334,0.4,0.0,0.041666666666666664,0.7000000000000001,12.0,0.39607450231481484,0.0,
2024-02-11,-2.425,-6.4249997,-4.243749966666667,13.281023,5.634891,8.135608645833333,0.9,0.0,0.12916666666666668,2.17,12.0,0.3435284826388889,0.0,
2024-02-12,-1.1750001,-13.474999,-5.874999929166667,6.618519,0.71999997,3.90032899875,0.1,0.0,0.016666666666666666,0.28,12.0,0.616863375,0.0,
2024-02-13,0.225,-8.025,-2.979166640833333,9.422101,1.609969,5.723827970833334,0.1,0.0,0.004166666666666667,0.07,12.0,0.7379969282407407,0.0,
2024-02-14,3.625,-4.7749996,-0.6187500145833335,10.787993,3.319036,6.8666131375,0.0,0.0,0.0,0.0,12.0,0.5491075648148148,0.0,
2024-02-15,5.125,-1.575,1.62499999625,11.384198,4.8965297,8.443207145833334,0.0,0.0,0.0,0.0,12.0,0.6347741180555556,0.0,
2024-02-16,5.8250003,-1.075,2.2041666695833335,9.659814,1.08,4.0816213875,0.0,0.0,0.0,0.0,12.0,0.7450609328703705,0.0,
2024-02-17,4.2250004,-5.475,0.98541666625,7.9932976,3.396233,5.5563767916666675,0.0,0.0,0.0,0.0,12.0,0.747451199074074,0.0,
2024-02-18,3.925,-10.575,-2.154166583333333,8.350138,0.71999997,4.554272532083333,0.4,0.0,0.03333333333333333,0.56,12.0,0.5851302685185185,0.0,
2024-02-19,0.625,-3.025,-1.2750000187500001,10.233123,3.396233,6.785863825,1.5,0.0,0.3875,6.3700000800000005,12.0,0.09632787268518518,0.0,
