day,max_temp,min_temp,avg_temp,max_wind,min_wind,avg_wind,max_percipitation,min_percipitation,avg_percipitation,sum_snow,day_hours,sunnyness,price_surge,max_price
2024-02-01,-1.332,-9.582,-4.009083325,10.853866,1.609969,5.589744066666666,0.5,0.0,0.08333333333333333,1.0500000100000002,12.0,0.08333333333333333,0.0,
2024-02-02,1.7179999,-9.332,-2.771583327083333,7.5942073,0.5091169,3.1382952916666667,0.0,0.0,0.0,0.0,12.0,0.4312716935185186,0.0,
2024-02-03,5.818,-6.132,-0.1674166595833333,9.686609,2.5959969,5.359096829166667,0.0,0.0,0.0,0.0,12.0,0.7156855046296297,0.0,
2024-02-04,2.6680002,-8.782,-2.64866666,10.630672,4.896529,8.672664891666665,0.0,0.0,0.0,0.0,12.0,0.7176389907407407,0.0,
2024-02-05,3.3179998,-9.532,-4.2715833299999995,11.177405,4.8433046,8.286088470833333,0.0,0.0,0.0,0.0,12.0,0.7196451550925926,0.0,
2024-02-06,1.5680001,-9.782,-4.8944999818333335,13.009903,4.3349743,9.643513537499999,0.0,0.0,0.0,0.0,12.0,0.7217008518518518,0.0,
2024-02-07,-0.88199997,-12.332,-5.579916664166667,16.215992,7.2,11.948980749999999,1.5,0.0,0.22083333333333333,3.70999997,12.0,0.7238025138888888,0.0,
2024-02-08,0.7680001,-3.332,-1.6028333155833334,17.654688,11.159999,14.776878208333335,1.2,0.0,0.16666666666666666,2.66000005,12.0,0.3200922368055556,0.0,
2024-02-09,-1.382,-3.332,-2.6590833041666664,19.164717,11.923557,14.922598354166666,0.5,0.0,0.22083333333333335,3.64000001,12.0,0.0,0.0,
2024-02-10,-0.982,-6.432,-3.9424166625,18.11841,6.763786,12.976497666666667,1.3,0.0,0.08333333333333333,1.4699999799999999,12.0,0.39714039074074076,0.0,
2024-02-11,-2.9819999,-6.732,-5.059083329166667,15.7908325,6.379216,9.54864085,0.8,0.0,0.14166666666666666,2.3100000300000003,12.0,0.3333333333333333,0.0,
